ID,Tweet,Target,Stance,Ans,FOL,needbkl,restated_sentence,extracted_knowledge
86,@TX_1 @politicalmath Then you know how slippery snakes slither over shards of glass!,Hillary Clinton,NONE,∀x (is slippery(x) → is negative(x)) → opposed,∀x (is slippery(x) → is negative(x)) → opposed,1,"If you are familiar with TX_1 and politicalmath, then you understand how dishonest and deceitful Hillary Clinton can be.",
87,@46drhouse - Be interesting to see how Hillary defends same when questioned.  She will eventually have to answer questions.,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → (is interesting(x) ∧ is defending(x) ∧ is questioned(x) ∧ is answering(x))) → neutral,∀x (is Hillary Clinton(x) → (is interesting(x) ∧ is defending(x) ∧ is questioned(x) ∧ is answering(x))) → neutral,1,"It will be interesting to see how Hillary Clinton defends herself when questioned about a topic. Eventually, she will have to answer the questions.",
88,.@HillaryClinton What's the ambient temperature in #Hell today? Use that as a guide!,Hillary Clinton,AGAINST,∀x (is a person(x) ∧ is a temperature(x) ∧ is in Hell(x) → is neutral(x)) → neutral,∀x (is a person(x) ∧ is a temperature(x) ∧ is in Hell(x) → is neutral(x)) → neutral,1,"Hillary Clinton, can you tell us what the current temperature in Hell is? Hashtags indicate that it should be used as a reference for something.",
89,"Gov. Chafee, why are you trying to make fetch happen. It's not going to happen.",Hillary Clinton,NONE,"Sure, here's the breakdown:

Simplified Sentence: Governor Chafee is promoting something unlikely, like ""making fetch happen"".

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
P(x): x is promoting something.
U(x): x is unlikely to occur.
F(x): x is ""making fetch happen"".
N(x): x is neutral.

Neutral: ∀x (P(x) ∧ U(x) ∧ F(x) → N(x))

The sentence does not express any positive or negative sentiment towards Hillary Clinton, only mentioning her in the context of a humorous comparison. Therefore, the attitude towards her is neutral.","∀x (is promoting something(x) ∧ is unlikely to occur(x) ∧ is ""making fetch happen""(x) → is neutral(x)) → neutral",0,"Governor Chafee, why are you attempting to promote something that is unlikely to occur, similar to the concept of 'making fetch happen'? #HillaryClinton",
90,#everydaysexism Only > @ATikSalt < may say what sexism is. The rest of y'all shut up.,Hillary Clinton,NONE,∀x (is allowed to define seism(x) ∧ should not speak about seism(x) → ¬is Hillary Clinton(x)) → neutral,∀x (is allowed to define seism(x) ∧ should not speak about seism(x) → ¬is Hillary Clinton(x)) → neutral,1,"This tweet is about everyday sexism and implies that only @ATikSalt has the authority to define and address sexism, while others should remain silent.",
91,"@tjhansen @owillis serious, if trump runs you'll get a trump tattoo? Calling the Donald!!",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)) → neutral,1,"Are you being serious, @tjhansen and @owillis? Are you saying that if Trump runs for president, you'll get a tattoo of him? Someone should tell Donald Trump about this.",
92,"Everything abt @HillaryClinton is BOGUS. Her issues, her history, her #Iowa trip, her #Twitter followers, her campaigning",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → is bogus(x)) → is opposed(x) → opposed,∀x (is Hillary Clinton(x) → is bogus(x)) → is opposed(x) → opposed,1,"Everything about Hillary Clinton is misleading. Her political stances, past experiences, recent trip to Iowa, number of Twitter followers, and campaigning methods are all false or deceptive.",
93,#hillaryclinton is a champion of data removal.,Hillary Clinton,AGAINST,∀x (is a champion(x) ∧ removes data(x) → is Hillary Clinton(x)) → neutral,∀x (is a champion(x) ∧ removes data(x) → is Hillary Clinton(x)) → neutral,1,Hillary Clinton is an advocate of deleting data or information.,
94,@FoundersGirl @Artist_Angie I want the first female to be competent.,Hillary Clinton,AGAINST,∀x (is a female(x) ∧ is competent(x) → ¬is Hillary Clinton(x)) → neutral,∀x (is a female(x) ∧ is competent(x) → ¬is Hillary Clinton(x)) → neutral,1,"I want the first female candidate, like Hillary Clinton, to be competent and able to perform the duties of the job. #HillaryClinton #FirstFemalePresident",
95,"Saudi Arabia imprisons & flogs rape victims. ""Women's champion"" @HillaryClinton has accepted MILLIONS $$$ from Saudi govt #tcot",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ has accepted money from the Saudi government(x) → ¬imprisons and flogs rape victims(x)) → opposed,∀x (is Hillary Clinton(x) ∧ has accepted money from the Saudi government(x) → ¬imprisons and flogs rape victims(x)) → opposed,1,"Saudi Arabia imprisons and flogs women who are victims of rape. Hillary Clinton, who presents herself as a champion for women's rights, has accepted millions of dollars from the Saudi Arabian government. #tcot",
96,How much was Monica getting paid when Bill's burrito squirted sauce all over her pretty blue dress? @MauraReynolds @politico,Hillary Clinton,AGAINST,"Sure, here's the simplified sentence and attitude conclusion:

Simplified Sentence: Monica Lewinsky received compensation for her dress stained by President Bill Clinton.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
C(x): x is a compensation.
D(x): x is a dress.
S(x): x is stained.
N(x): x is neutral.

Neutral: ∀x (M(x) ∧ R(x) ∧ C(x) ∧ D(x) ∧ S(x) → N(x))",∀x (is mentioned(x) ∧ is referenced(x) ∧ is a compensation(x) ∧ is a dress(x) ∧ is stained(x) → is neutral(x)) → neutral,0,"I am asking about the amount of money that Monica Lewinsky was receiving as compensation when President Bill Clinton stained her pretty blue dress with burrito sauce. Can you shed some light on this, Maura Reynolds and Politico? #HillaryClinton",
97,Go watch America: Imagine A World Without Her. It'll make you realize how lucky we are to live in the best country on Earth,Hillary Clinton,NONE,∀x (¬(is a documentary(x) ∨ is America(x) ∨ is the best country(x)) → ¬is Hillary Clinton(x)) → neutral,∀x (¬(is a documentary(x) ∨ is America(x) ∨ is the best country(x)) → ¬is Hillary Clinton(x)) → neutral,1,I recommend people to watch the documentary 'America: Imagine A World Without Her'. It will make you appreciate how fortunate we are to live in the greatest nation on the planet. #HillaryClinton #documentary #patriotism,
98,I suspect Hillary's Scooby Doo tour is being used as a distraction from ServerGate et al.  #NoObamaThirdTerm,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ is a distraction(x) ∧ is ServerGate(x) → ¬x) → opposed,∀x (is Hillary Clinton(x) ∧ is a distraction(x) ∧ is ServerGate(x) → ¬x) → opposed,1,I suspect that Hillary Clinton's tour with the Scooby Doo van is being used to divert attention from the issues surrounding ServerGate among others. Hashtag NoObamaThirdTerm is attached to the tweet indicating the user's political stand against Obama's administration for the third term.,
99,Breaking News: #Hillary trades campaign bus for a broomstick.,Hillary Clinton,AGAINST,∀x (is associated with a broomstick(x) → is opposed(x)) → opposed,∀x (is associated with a broomstick(x) → is opposed(x)) → opposed,1,The breaking news is that Hillary has replaced her campaign bus with a broomstick as a way of mocking her alleged use of witchcraft.,
100,"@SoCaliMilitia1 @CzarofFreedom  That God for global warming melting icebergs, never gets prosecuted for her crimes #Liberals",Hillary Clinton,AGAINST,∀x (is a crime committed by Hillary Clinton(x) → ¬is prosecuted for crimes(x)) → is opposed to Hillary Clinton(x) → opposed,∀x (is a crime committed by Hillary Clinton(x) → ¬is prosecuted for crimes(x)) → is opposed to Hillary Clinton(x) → opposed,1,Thank God for global warming melting icebergs. Hillary Clinton never gets prosecuted for her crimes. Liberals are the ones saying this. Hashtag used: Liberals.,
101,"Nothing says ""I'm Every Woman"" like 10 Democrat staffers in a machine shop in #Iowa right @HillaryClinton? #NotReadyForHillary",Hillary Clinton,AGAINST,¬is ready for Hillary Clinton(x) → ¬H(x) → opposed,¬is ready for Hillary Clinton(x) → ¬H(x) → opposed,1,"There is nothing that embodies the spirit of being a woman like 10 Democratic staffers in a machine shop in Iowa, right Hillary Clinton? It means that she is not ready to become the president according to the person who wrote the tweet.",
102,"I'd love for some reporter to ask, ""Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it?",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → ¬(is china(x) ∨ is a pawnshop(x))) → opposed,∀x (is Hillary Clinton(x) → ¬(is china(x) ∨ is a pawnshop(x))) → opposed,1,"I would love for a reporter to ask Secretary Clinton if she plans on returning the White House china if she gets elected as President, or has she already sold it?",
103,Very simple: the Clinton's are corrupt.,Hillary Clinton,AGAINST,∀x (is corrupt(x) → ¬is Hillary Clinton(x)) → opposed,∀x (is corrupt(x) → ¬is Hillary Clinton(x)) → opposed,1,It is very simple to understand that the Clintons are corrupt.,
104,.@CaptYonah @thehill Fine; unethical or illegal quid pro quo uranium deal works for me.,Hillary Clinton,NONE,∀x (is Hillary Clinton(x) ∧ is involved in a quid pro quo deal(x) ∧ is illegal or unethical(x) → ¬G(x)) → opposed,∀x (is Hillary Clinton(x) ∧ is involved in a quid pro quo deal(x) ∧ is illegal or unethical(x) → ¬G(x)) → opposed,1,I agree with CaptYonah and thehill that the quid pro quo uranium deal is unethical or illegal.,
105,@ConservatveGurl those of us that also have a brain will be voting against Hillary...,Hillary Clinton,AGAINST,∀x (has a brain(x) → votes against Hillary Clinton(x) ∧ ¬is Hillary Clinton(x)) → opposed,∀x (has a brain(x) → votes against Hillary Clinton(x) ∧ ¬is Hillary Clinton(x)) → opposed,1,Those of us who also possess the ability to think intelligently will cast our vote in opposition to Hillary Clinton.,
106,@LifeNewsHQ tolerance at its best! Do as I say not as I do,Hillary Clinton,NONE,∀x (promotes tolerance(x) ∧ does not practice what they preach(x) → ¬is Hillary Clinton(x)) → opposed,∀x (promotes tolerance(x) ∧ does not practice what they preach(x) → ¬is Hillary Clinton(x)) → opposed,1,LifeNewsHQ highlights the irony of Hillary Clinton urging people to be tolerant while not practicing it herself.,
107,"@Chris_1791 @TruthRevolt That doesn't leave much to talk about, then, does it?",Hillary Clinton,NONE,"Sure, here's the simplified sentence and attitude conclusion:

Simplified Sentence: Chris_1791 and TruthRevolt have no conversation about Hillary Clinton.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
C(x, y): x and y have a conversation about y.
H(x): x is Hillary Clinton.
Neutral: ∀x ∀y (¬C(x, y) → ¬H(y))

In this case, the simplified sentence implies that Chris_1791 and TruthRevolt do not have a conversation about Hillary Clinton, therefore, the attitude towards Hillary Clinton is Neutral.","∀x ∀y (¬and y have a conversation about y(x, y) → ¬is Hillary Clinton(y)) → neutral",0,Chris_1791 and TruthRevolt don't have much to talk about regarding Hillary Clinton.,
108,I'm thinking #Hillary throws #Chelsea under the bus to end #Foundation firestorm.  #ClintonCash #TheGreaterGood #election2016,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ is thrown under the bus(x) ∧ is Chelsea Clinton(x) ∧ is a firestorm(x) → is opposed(x)) → opposed,∀x (is Hillary Clinton(x) ∧ is thrown under the bus(x) ∧ is Chelsea Clinton(x) ∧ is a firestorm(x) → is opposed(x)) → opposed,1,"I am thinking that Hillary Clinton may sacrifice her daughter Chelsea to put an end to the controversy surrounding the Clinton Foundation. Some people accuse the Clintons of corruption, claiming that their foundation has dubious sources of funding. However, it is argued that the Clinton Foundation does more good than harm. All of this controversy is relevant to the upcoming United States presidential election in 2016.",
109,@FoxNews #HappeningNow optics problem? No the real Hillary Clinton has stood up #ClintonCash #IaVotes,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → has an optics problem(x)) → opposed,∀x (is Hillary Clinton(x) → has an optics problem(x)) → opposed,1,"The Fox News program called Happening Now is discussing whether or not there is an optics problem with Hillary Clinton's campaign, but some argue that the true Hillary Clinton, as portrayed in the book Clinton Cash, has emerged. This is being talked about in relation to the Iowa Caucus.",
110,@HillaryClinton You can run but you ca't hide. #ClintonFoundationscandal #ClintonCash #emailgate,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → is involved in a scandal(x)) → has an opposed attitude(x) → opposed,∀x (is Hillary Clinton(x) → is involved in a scandal(x)) → has an opposed attitude(x) → opposed,1,"Hillary Clinton, you may attempt to run away, but you will not be able to hide from the scandals surrounding the Clinton Foundation, the controversy surrounding your finances, and the email scandal.","""@HillaryClinton"" is related to the given [Target], therefore the output is:

The Clinton Foundation was added to a charity watch list in 2015 after questions were raised about donations from corporations and foreign governments. However, by 2016, the foundation was given the highest possible rating after its financial records were reviewed. CharityWatch gave the foundation an A rating for 2016, and the foundation spent more than $26 million to complete its mission.
Clinton critics have accused her or her aides of deleting emails that were under subpoena"
111,"In case of Emergency, Push THIS BUTTON to scrub server.....",Hillary Clinton,NONE,"Sure, here's the simplified sentence and attitude conclusion:

Simplified Sentence: Pressing a button deletes data from a server used by Hillary Clinton's emails in case of an emergency.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
E(x): x is an emergency.
D(x): x deletes data.
S(x): x is a server.
H(x): x is Hillary Clinton's email.
Neutral: ∀x (E(x) → (D(x) ∧ S(x) ∧ H(x)))",∀x (is an emergency(x) → (deletes data(x) ∧ is a server(x) ∧ is Hillary Clinton's email(x))) → neutral,0,"If there is an emergency, press this button to delete all data from the server used by Hillary Clinton's emails.",
112,Great to see my mentor @RepSusanDavis at #DCinSD. And she's right we have the most qualified candidate ever running for POTUS.,Hillary Clinton,FAVOR,"∀x (is a politician(x) ∧ is qualified(x) → supports y(x, Hillary Clinton)) → support","∀x (is a politician(x) ∧ is qualified(x) → supports y(x, Hillary Clinton)) → support",1,It was great to see my mentor Representative Susan Davis at DCinSD event. She affirmed that the United States has the most qualified candidate ever running for President of the United States (#POTUS) and I couldn't agree more.,
113,@BarackObama #Love_peace and peaceful coexistence of all no to violence and #terrorism,Hillary Clinton,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Barack Obama supports love, peace, and peaceful coexistence of all. He is against violence and terrorism.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
L(x): x supports love.
P(x): x supports peace.
C(x): x supports peaceful coexistence.
V(x): x is against violence.
T(x): x is against terrorism.
N(x, y): x has a neutral attitude towards y.

Neutral: ∀x ∀y (L(x) ∧ P(x) ∧ C(x) ∧ V(x) ∧ T(x) → N(x, y))

In this case, we can see that Barack Obama supports love, peace, and peaceful coexistence, and is against violence and terrorism. However, the sentence does not provide any information about Hillary Clinton's views or actions related to these topics. Therefore, the attitude towards Hillary Clinton is Neutral.","∀x ∀y (supports love(x) ∧ supports peace(x) ∧ supports peaceful coeistence(x) ∧ is against violence(x) ∧ is against terrorism(x) → has a neutral attitude towards y(x, y)) → neutral",0,"Barack Obama supports love, peace, and peaceful coexistence of all. He is against violence and terrorism.",
114,@readyforHRC @HillaryClinton  Support encourage #HillaryClinton president #UnitedStates world is success of women in  world,Hillary Clinton,FAVOR,∀x (is Hillary Clinton(x) → is associated with success(x)) → support,∀x (is Hillary Clinton(x) → is associated with success(x)) → support,1,I support and encourage Hillary Clinton to become the President of the United States. Her success as a woman will impact the world positively. #ReadyForHRC #HillaryClinton,"""sentences from [Wikipedia Document] related to the given [Sentence] and the given [Target]"": The Book of Gutsy Women: Favorite Stories of Courage and Resilience. Simon & Schuster. October 2019. ISBN 978-1501178412. (co-author Hillary Clinton)
Clinton has called for the U.S. to ratify the Convention on the Elimination of All Forms of Discrimination Against Women, which was signed by President Jimmy Carter in 1980 but never ratified by the Senate. Clinton said in 2016 that if elected president, she will fill half of her Cabinet with women, a move that would be historic in the United States. As Secretary of State, Clinton created the post of Ambassador-at-Large for Global Women's Issues."
115,I bet Leslie Knope would be so happy about,Hillary Clinton,FAVOR,"∀x (is Leslie Knope(x) → would be happy about y(x, is Hillary Clinton(x))) → support","∀x (is Leslie Knope(x) → would be happy about y(x, is Hillary Clinton(x))) → support",1,I bet Leslie Knope would be so happy about Hillary Clinton.,
116,"Also the $400,000 ""speaking fees"" #Hillary took from Goldman Sachs for two ""speeches."" @Joan_Vennochi",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ received speaking fees from Goldman Sachs(x) → is opposed(x)) → opposed,∀x (is Hillary Clinton(x) ∧ received speaking fees from Goldman Sachs(x) → is opposed(x)) → opposed,1,"It was mentioned that Hillary Clinton received $400,000 as speaking fees from Goldman Sachs for two speeches. This was stated by Joan Vennochi on Twitter with the handle @Joan_Vennochi. #Hillary","Clinton earned over $11 million giving 51 paid speeches to various organizations, including Goldman Sachs and other Wall Street banks. The speeches, and Clinton's not releasing their transcripts, would be raised as an issue by her opponents during the upcoming primary and general election campaigns.
Hillary Clinton is mentioned in the Wikipedia document regarding her and Bill's income from speaking fees, book writing, and business consulting. The document reports that in 2015, Hillary Clinton made $5 million or more from her book, Hard Choices, and that Bill and Hillary Clinton made about $240 million from January 2001 to December 2015 mostly from paid speeches, business consulting, and book writing. Therefore, the relevant sentence from the Wikipedia document related to the given target and sentence is ""In 2016, Forbes reported Bill and Hillary Clinton made about $240 million in the 15 years from January 2001, to December 2015, (mostly from paid speeches, business consulting and book-writing). Also in 2016, CNN reported the Clintons combined to receive more than $153 million in paid speeches from 2001 until spring 2015. In May 2015, The Hill reported that Bill and Hillary Clinton have made more than $25 million in speaking fees since the start of 2014, and that Hillary Clinton also made $5 million or more from her book, Hard Choices, during the same time period."""
117,@readyforHRC   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world,Hillary Clinton,FAVOR,∀x (is supported(x) ∧ is encouraged(x) → is a president(x)) ∧ ∀x (is a president(x) → is a woman(x)) → support,∀x (is supported(x) ∧ is encouraged(x) → is a president(x)) ∧ ∀x (is a president(x) → is a woman(x)) → support,1,ReadyforHRC is encouraging support for Hillary Clinton as the President of the United States. Her success will uplift women all over the world.,"Clinton has called for the U.S. to ratify the Convention on the Elimination of All Forms of Discrimination Against Women, which was signed by President Jimmy Carter in 1980 but never ratified by the Senate. Clinton gave an influential speech called ""Women's Rights are Human Rights"" on September 5, 1995, at the United Nations Fourth World Conference on Women in Beijing. As Secretary of State, Clinton created the post of Ambassador-at-Large for Global Women's Issues."
118,@NatureGuy101 @MaryMorientes   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world,Hillary Clinton,FAVOR,∀x (is Hillary Clinton(x) → is associated with success(x)) → support,∀x (is Hillary Clinton(x) → is associated with success(x)) → support,1,I support and encourage Hillary Clinton to become the President of the United States. Her success would be a representation of women's achievement in the world. #HillaryClinton,"Clinton supports equal rights for women, promotes equal pay for equal work, and calls for the U.S. to ratify the Convention on the Elimination of All Forms of Discrimination Against Women. She gave an influential speech on women's rights at the United Nations Fourth World Conference on Women and created the post of Ambassador-at-Large for Global Women's Issues as Secretary of State. Therefore, Clinton's success in becoming the President of the United States could encourage and support the success of women globally."
119,@rebeccalipson #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia,Hillary Clinton,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Rebecca Lipson supports values that promote a happy life in a utopian society.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
F(x): x supports freedom.
J(x): x supports justice.
E(x): x supports equality.
Ed(x): x supports education.
H(x): x promotes a happy life in a utopian society.

Neutral: ∀x (¬(F(x) ∨ J(x) ∨ E(x) ∨ Ed(x) ∨ H(x)) → ¬G(x))

G(x): x is Hillary Clinton.

The simplified sentence does not mention or reference Hillary Clinton, therefore the attitude towards her is Neutral.",∀x (¬(supports freedom(x) ∨ supports justice(x) ∨ supports equality(x) ∨ supports education(x) ∨ promotes a happy life in a utopian society(x)) → ¬is Hillary Clinton(x)) → neutral,0,"Rebecca Lipson supports the values of freedom, justice, equality and education in order to encourage innovation and development, and ultimately make a happy life in a utopian society.",
120,Before leaving my dad's I took the liberty in framing and put up the pictures he has meeting Hillary and Bill Clinton in '92,Hillary Clinton,FAVOR,"∀x (is a person(x) ∧ met y(x, Hillary Clinton) → is a democrat(x)) → support","∀x (is a person(x) ∧ met y(x, Hillary Clinton) → is a democrat(x)) → support",1,"Before leaving my dad's place, I took the liberty of framing and putting up the pictures he has of meeting Hillary and Bill Clinton in 1992.",
121,#HillarysAccomplishments Being a total clusterfuck at anything she does. #ReadyForHillary #UniteBlue #TopProg #TPOT #LibCrib,Hillary Clinton,AGAINST,"Sure, here's the breakdown of the sentence you provided:

Simplified Sentence: Hillary Clinton's accomplishments are criticized as a total disaster, but her supporters still believe she is ready for the presidency.

Attitude Conclusion: The attitude towards Hillary Clinton is mixed.

First-order logic:
H(x): x is Hillary Clinton.
C(x): x's accomplishments are criticized.
D(x): x is a disaster.
P(x): x is ready for the presidency.
S(x): x's supporters stand with her.

Mixed: ∀x (H(x) → (C(x) ∧ D(x)) ∧ (P(x) ∧ S(x)))",∀x (is Hillary Clinton(x) → ('s accomplishments are criticized(x) ∧ is a disaster(x)) ∧ (is ready for the presidency(x) ∧ 's supporters stand with her(x))) → neutral,0,"Hillary Clinton's accomplishments are criticized for being a total disaster at everything she does. Supporters still believe she is ready for the presidency and stand with her under political affiliations such as Top Progressive, Liberal Crib and Unite Blue.",
122,RT .@ChuckNellis  .@HillaryClinton name change; it's no longer HRC it's now Hillary Uranium #Benghazi Clinton. Take note.,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ has a name change(x) ∧ is associated with uranium(x) ∧ is associated with Benghazi(x) → ¬is Hillary Clinton(x)) → opposed,∀x (is Hillary Clinton(x) ∧ has a name change(x) ∧ is associated with uranium(x) ∧ is associated with Benghazi(x) → ¬is Hillary Clinton(x)) → opposed,1,"Retweet from ChuckNellis: Mentioning Hillary Clinton, he says her name has changed from HRC to Hillary Uranium #Benghazi Clinton. We should take a note about it.",
123,Hillary is on her way to #Baltimore to be their champion. #BaltimoreRiots,Hillary Clinton,FAVOR,∀x (is Hillary Clinton(x) ∧ is a champion(x) ∧ is going to Baltimore(x) → is neutral(x)) → neutral,∀x (is Hillary Clinton(x) ∧ is a champion(x) ∧ is going to Baltimore(x) → is neutral(x)) → neutral,1,Hillary Clinton is on her way to Baltimore to be a champion for them amidst the Baltimore riots.,"Hillary Clinton announced her candidacy via email and stated that ""Everyday Americans need a champion. And I want to be that champion."""
124,"take faith that almost every political entity around you, whether dissident or not, serves no good purpose #Dempublicans",Hillary Clinton,AGAINST,∀x (is a political entity(x) ∧ ¬serves a good purpose(x) → is opposed(x)) → opposed,∀x (is a political entity(x) ∧ ¬serves a good purpose(x) → is opposed(x)) → opposed,1,"Take comfort in the fact that almost every political group around you, whether they are in opposition or in power, is not serving a positive purpose. #Democratic-Republicans",
125,You don't have to be a lawyer to know the Clintons violated ethics rules.,Hillary Clinton,AGAINST,∀x (violated ethics rules(x) → ¬is Hillary Clinton(x)) → opposed,∀x (violated ethics rules(x) → ¬is Hillary Clinton(x)) → opposed,1,You don't need to have a degree in law to understand that the Clintons have breached regulations on moral principles.,
126,@Xxoax @HillaryClinton @MaryMorientes   @BarackObama The whole #world is supporting you.,Hillary Clinton,FAVOR,∀x (is supported(x) ∧ is the whole world(x) → is Hillary Clinton(x)) → support,∀x (is supported(x) ∧ is the whole world(x) → is Hillary Clinton(x)) → support,1,"Xxoax, Hillary Clinton, Mary Morientes and Barack Obama, the entire world is supporting you.",
127,@HillaryClinton #freedom_justice_equality_education for innovation and development to make #happy_life i Utopia,Hillary Clinton,FAVOR,"Sure, here's the breakdown of the sentence you provided:

Simplified Sentence: Hillary Clinton advocates for freedom, justice, equality, and education.

Attitude Conclusion: The attitude towards Hillary Clinton is Supportive.

First-order logic:
H(x): x is Hillary Clinton.
A(x): x advocates for freedom.
J(x): x advocates for justice.
E(x): x advocates for equality.
Ed(x): x advocates for education.
S(x): x aims to create a Utopian society.

Support: ∀x (H(x) → (A(x) ∧ J(x) ∧ E(x) ∧ Ed(x) ∧ S(x)))",∀x (is Hillary Clinton(x) → (advocates for freedom(x) ∧ advocates for justice(x) ∧ advocates for equality(x) ∧ advocates for education(x) ∧ aims to create a Utopian society(x))) → support,0,"Hillary Clinton advocates for freedom, justice, equality, and education in hopes of creating an innovative and developed society that will lead to a happy life resembling a Utopia.",
128,"So @ClintonFdn, I believe Andrew Fastow beat you to the ""we made mistakes, as many organizations of our size do"" excuse",Hillary Clinton,AGAINST,"∀x ∀y (used the ecuse ""we made mistakes"" before y(x, y) → ¬is Hillary Clinton(x)) → neutral","∀x ∀y (used the ecuse ""we made mistakes"" before y(x, y) → ¬is Hillary Clinton(x)) → neutral",1,"So, the Clinton Foundation, I believe that Andrew Fastow has already used the excuse - 'We made mistakes, as many organizations of our size do.'",
129,I'm 19 years old and care about politics and elections.... I feel like I'm 67 years old,Hillary Clinton,NONE,∀x (is old(x) ∧ cares about politics and elections(x) → ¬is Hillary Clinton(x)) → neutral,∀x (is old(x) ∧ cares about politics and elections(x) → ¬is Hillary Clinton(x)) → neutral,1,"Despite being only 19 years old, I have a keen interest in politics and elections, to the point where I feel like I'm much older, around 67 years old.",
130,@HillaryClinton I notice that you didn't condemn the lawless actions of the rioters.,Hillary Clinton,AGAINST,¬(is Hillary Clinton(x) ∧ condemned the actions of rioters(x)) → did not condemn the actions of rioters(x) → opposed,¬(is Hillary Clinton(x) ∧ condemned the actions of rioters(x)) → did not condemn the actions of rioters(x) → opposed,1,"Hillary Clinton, I have observed that you did not express disapproval towards the unlawful behaviors of the rioters.",
131,Obama:  climate change or bush?  Who to blame...?  Hillary:  right wing conspiracy in Baltimore. #BalitmoreRiots,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ is a conspiracy(x) ∧ is right-wing(x) → is neutral(x)) → neutral,∀x (is Hillary Clinton(x) ∧ is a conspiracy(x) ∧ is right-wing(x) → is neutral(x)) → neutral,1,"Obama asked whether climate change or Bush is to blame, but Hillary Clinton suggested that the right wing conspiracy was responsible for the Baltimore riots. #BaltimoreRiots",
132,"Wasn't the original #ScoobyVan also full of unemployed hippies & a stupid dog, who lived to meddle in other people's business?",Hillary Clinton,AGAINST,Not Refer → neutral,Not Refer → neutral,1,"Wasn't the original ScoobyVan also full of unemployed hippies and a stupid dog, who lived to meddle in other people's business?",
133,"In 2013 Clinton Foundation collected $140M and spent $9M on direct aid, in 2014 they raised $500M and spent $100M on direct aid!",Hillary Clinton,AGAINST,∀x (is a foundation(x) ∧ collected money(x) ∧ spent money on direct aid(x) → ¬is Hillary Clinton(x)) → neutral,∀x (is a foundation(x) ∧ collected money(x) ∧ spent money on direct aid(x) → ¬is Hillary Clinton(x)) → neutral,1,"In 2013, the Clinton Foundation collected $140 million and spent $9 million on direct aid. In 2014, they raised $500 million and spent $100 million on direct aid.",
134,Students of #BaylorUniversity are y'all ready for #MarcoRubio in #2016 #BU #Baylor #Bears #BaylorBears #NewAmericanCentury #GOP,Hillary Clinton,AGAINST,"Sure, here's the breakdown:

Simplified Sentence: No mention of Hillary Clinton.

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.

First-order logic:
M(x): x is mentioned.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬M(x) → ¬H(x))

Therefore, the attitude towards Hillary Clinton is Neutral, as she is not mentioned in the sentence.",∀x (¬is mentioned(x) → ¬is Hillary Clinton(x)) → neutral,0,Are the students of Baylor University ready for Marco Rubio running in the GOP for the 2016 election? Go Bears! #BaylorUniversity #MarcoRubio #2016Election #BU #Baylor #Bears #BaylorBears #NewAmericanCentury #GOP,
135,@ChelseaClinton @HRC Do you stand for #BillClinton assaulting teen girls too? #ReadyForHillary #HillaryClinton #Clinton2016,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ is Bill Clinton(x) ∧ assaults teen girls(x) → is opposed(x)) → opposed,∀x (is Hillary Clinton(x) ∧ is Bill Clinton(x) ∧ assaults teen girls(x) → is opposed(x)) → opposed,1,Chelsea Clinton and Hillary Clinton are being questioned if they support Bill Clinton's alleged assault of underage girls. The tweet also mentions being ready for Hillary Clinton's 2016 presidential campaign.,
