ID,Tweet,Target,Stance,FOL,FOLC,Pred
176,Saw a bit of @HillaryClinton 's speech & I was proud to hear her plans for policy improvements in our justice system. Thanks!,Hillary Clinton,FAVOR,∀x ((saw a bit of Hillary Clinton's speech(x) ∧ is Hillary Clinton(x)) → (is proud(x) ∧ has plans for policy improvements in the justice system(x))),"Support the given target ""Hillary Clinton""",support
177,@Anomaly100 I'm confident that will piss off a few white Anglo-Saxon Protestants! Keep talking Jeb.,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
178,@Upworthy @HillaryClinton It should be illegal for an employer to discriminate against their workers. #EqualityForAll,Hillary Clinton,FAVOR,∀x ((supports the idea(x) ∧ mentions Hillary Clinton(x))),"Support the given target ""Hillary Clinton""",support
179,"A body-cam on every cop, private servers for Cabinet Secretaries.",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
180,@JohnKerry @BALWANIKAPIL @HillaryClinton @StateDept @tomperriello I didn't realize #PayToPlayDiplomacy was such a big hit!,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ x = HillaryClinton) ∧ is popular(#PayToPlayDiplomacy)) → is opposed(HillaryClinton),"Opposed to the given target ""Hillary Clinton""",opposed
181,"@VRWCTexan WOW, she's one to talk",Hillary Clinton,AGAINST,is opposed(@VRWCTexan),"Opposed to the given target ""Hillary Clinton""",opposed
182,RT @FutureTXLeader: Are y'all at #UTEP ready for #MarcoRubio in #2016 #Miners #LadyMiners #UniversityOfTexasElPaso #Rubio #New...,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
183,RT @FutureTXLeader: Are y'all #TexasTech #RedRaiders ready for #MarcoRubio in #2016 #TTU #TexasTechUniversity #Rubio #Texas #N...,Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
184,RT @FutureTXLeader: Who in #CorpusChristi is ready for #MarcoRubio in #2016 #Hooks #CC #Texas #TX #361 #KeepTexasRed #GOP #Tea...,Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
185,"I've been doing my reading and I do have to to say, I'm wildly impressed by Hillary Clinton",Hillary Clinton,FAVOR,∀x ((is the speaker(x) ∧ is impressed(x)) → is Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
186,"@zacharyebell Thank you 4the follow. God bless you and those you love! God bless America, may she always be the land of the free!",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
187,@BarackObama thanks for selling out all the workers who voted for you for pushing FastTrack #sellout,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
188,As late as 2013 #HillaryClinton opposed marriage equality.,Hillary Clinton,AGAINST,"opposed y(Hillary Clinton, marriage equality)","Opposed to the given target ""Hillary Clinton""",opposed
189,@thehill all the more reason to vote #Democrat in 2016. #ACAworks #GetMoneyOut #RestoreTheVRA #Bernie2016 #waronpoverty,Hillary Clinton,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
190,RT @Glenn_Hegar: Follow if you stand against Hillary in 2016!,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ is in the 2016 election(x)) → is opposed(x)),"Oppose the given target ""Hillary Clinton""",opposed
191,I can vote in 2016 after all ayyyyyyyyyy,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
192,"@jstines3 @WoodenThreat Open mouth, reveal heart-Margaret Sanger,architect for black genocide @larryelder @TheFive #HillarySoWhite",Hillary Clinton,AGAINST,∀x (is mentioned(x) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
193,I'm still so happy my voter ID came in the mail,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
194,Great convo last night w/ @schoolbus_soul & @zaksteib Great connections in #Waverly & on my #turf! #FellowsIA #CommitToCaucus,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
195,#HillaryClinton is hiring #Monsanto lawyers to help her become President. The next president shouldn't be aided by Monsanto,Hillary Clinton,AGAINST,"∀x ((is Hillary Clinton(x) ∧ is aided by y(x, is Monsanto)))","Oppose the given target ""Hillary Clinton""",opposed
196,@marymorientes Love it. It happens in my world too!,Hillary Clinton,NONE,∀x ((is loved(x) ∧ happens in my world(x)) → is Hillary Clinton(x)),Support the given target 'Hillary Clinton',support
197,@Froquesha u get me that book yea?,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
198,RT @putterrod: @IngrahamAngle Republicans everywhere are looking for someone to lead. A leader not a liar.,Hillary Clinton,AGAINST,∀x ((is a Republican(x) ∧ is a leader(x)) → ¬(is Hillary Clinton(x) ∧ is a liar(x))),"Opposed to the given target ""Hillary Clinton""",opposed
199,This weekend is the Hillary For America Weekend of Action & I hope you'll participate. -L #California,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) ∧ is the Hillary For America Weekend of Action(x)) → is participating(x)),Support the given target 'Hillary Clinton',support
200,"It's good that after 30 years in public service (with zero accomplishments), Hillary is finally ready 2 serve the public! Lolol",Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ has been in public service for 30 years(x) ∧ ¬has accomplishments(x)) → ¬is ready to serve the public(x)),"Opposed to the given target ""Hillary Clinton""",opposed
201,"We're out here in G-town, and where are you #sctweets",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
202,@jstines3 @bcwilliams92 #Stephens begged for his life & @HillaryClinton @Madam_President is begging for ur vote #NotAChanceInHell,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is begging for votes(x)) → is Hillary Clinton(x)),"opposed to the given target ""Hillary Clinton""",opposed
203,RT @spanglishpop: Thanks @GOP keep sending in the clowns! It makes this upcoming election very entertaining #latinos2016 #Rock...,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
204,#ThingsYouDontSayAsAPolitician I don't feel no ways tired. Go to the back of the line. What difference does it make?,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
205,Laughing at the Republican Party. The BEST they can offer is #DonaldTrump and #JebBush? #HillaryClinton has got this!,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) ∧ (is Donald Trump(x) ∨ is Jeb Bush(x))) → is the best candidate(x)),"Support the given target ""Hillary Clinton""",support
206,"@Temp15544 @icedecay @BrooklynJuggler @classic_mouth In this context, to all practical extents and purposes? It means",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
207,"Just met an awesome supporter on the CX bus! He said ""Hillary is one strong woman and we need that for our country."" #FellowsNV",Hillary Clinton,FAVOR,∀x ((is a supporter(x) ∧ admires Hillary Clinton(x)) → (is a strong woman(x) ∧ is needed for the country(x))),"Support the given target ""Hillary Clinton""",support
208,"Hilary has lied, deleted Benghazi emails, and betrayed the trust of Americans scandal after scandal.",Hillary Clinton,AGAINST,∀x (has lied(x) ∧ has deleted Benghazi emails(x) ∧ has betrayed the trust of Americans(x)) → is opposed(x),"Oppose the given target ""Hillary Clinton""",opposed
209,"Hillary has lied, deleted Benghazi emails, and betrayed the trust of Americans scandal after scandal.",Hillary Clinton,AGAINST,∀x (has lied(x) ∧ has deleted Benghazi emails(x) ∧ has betrayed the trust of Americans(x) ∧ is involved in scandals(x)),"Opposed to the given target ""Hillary Clinton""",opposed
210,"In high school, decided to be the first woman president in 2016, but I never got into politics & don't have Trump's money.",Hillary Clinton,NONE,∀x ((is Hillary Clinton(x) ∧ aspired to be the first woman president in 2016(x)) → (¬pursued a political career(x) ∧ ¬has financial resources(x))),"Support the given target ""Hillary Clinton""",support
211,Thanks @izzybugatti for participating! WE are lucky to have YOU here in Iowa. #FellowsIA,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
212,"@jilevin @strumpetcity Yes. You make me proud. Socialism is the answer, which leads to communism. We will succeed.",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
213,"@GOP Obamacare stays and the Confederate flag goes. You guys have had quite the shitty week, haven't you?",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
214,Come visit me at the Jefferson County Fair! Representative Curt Hanson will tell a joke and I'll tell a story about why vote,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
215,I'm proud to announce I support #HillaryClinton!!!!,Hillary Clinton,FAVOR,∀x (supports Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
216,Excited to be working with some great #FellowsSC this summer. They're some pretty great people that are fired up for #LetsGo,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
217,Federal gov't social spending 61% of budget. Federal gov't defense spending 22% of budget. Something is definitely wrong here.,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
218,@HillaryClinton literally the greatest video I have ever seen.,Hillary Clinton,FAVOR,∀x ((is praised(x) ∧ is the greatest(x)) ∧ is mentioned(x)) → Support the given target 'Hillary Clinton'(Hillary Clinton),Support the given target 'Hillary Clinton',support
219,@washingtonpost sir sory mae bi bharat mool ka hu par my hart is for democraet and,Hillary Clinton,NONE,∀x (¬(is mentioned(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
220,@ChelseaClinton's mom has got it going on! #POTUS #ChelseasMom,Hillary Clinton,FAVOR,∀x ((x = '@ChelseaClinton's mom' ∧ is Hillary Clinton(x)) → has got it going on(x)),"Support the given target ""Hillary Clinton""",support
221,"America needs a champion!-H No thanks,@HillaryClinton we don't need a champion, especially if you're that ""champion"".",Hillary Clinton,AGAINST,∀x ((is a champion(x) ∧ is needed(x)) → is opposed(x)),"Oppose the given target ""Hillary Clinton""",opposed
222,Would that the rest of #us were able to escape from #Clinton as well #ClintonCorrectional #HillaryClinton #escapeClinton,Hillary Clinton,AGAINST,∀x (desires others to escape from Hillary Clinton(x) ∧ is able to escape from Hillary Clinton(x)),"Opposed to the given target ""Hillary Clinton""",opposed
223,@HillaryClinton Awesome video! Vote for Chelsea's mom.,Hillary Clinton,FAVOR,∀x (is Hillary Clinton(x) → is supported(x)),"Support the given target ""Hillary Clinton""",support
224,Hilliary: I provided all work related emails State Dept: There are work related emails you didn't provide #Hillaredacted,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ provided all work-related emails(x)) ∧ (contradicts the claim(x) ∧ withheld work-related emails(x))) → is opposed to Hillary Clinton(x),"Opposed to the given target ""Hillary Clinton""",opposed
225,"#CarlyFiorina on #hannity, very impressive. A serious presidential candidate vs. A bad actress.",Hillary Clinton,AGAINST,∀x ((is portrayed as a serious presidential candidate(x) ∧ is described as a bad actress(x)) → is opposed(x)),"Opposed to the given target ""Hillary Clinton""",opposed
226,"@LeighStorz @jstines3 Totally agree, Hillary is an incompetent scandal ridden phony.",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → (is incompetent(x) ∧ is scandal ridden(x) ∧ is a phony(x))),"Opposed to the given target ""Hillary Clinton""",opposed
227,"This Friday is, officially, Political Incorrectness day! All day say whatever you want and offend everyone! Yay! #tcot #2A #PC",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
228,"@FoxNews report shows U.S. State Department cannot locate 15 of Hillary Clinton's Private Emails. Not so fast, Hillary!",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → ('s Private Emails cannot be located(x) ∧ 's actions are being questioned(x))),"Oppose the given target ""Hillary Clinton""",opposed
229,@Callisto1947 @texasman2008 @AmyMek Hillary's new Campaign Slogan: HILLARY - NOTHING TO HIDE EXCEPT THE TRUTH !!! #TCOT #CCOT,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ has nothing to hide ecept the truth(x))),"Opposed to the given target ""Hillary Clinton""",opposed
230,I really need my new @HillaryClinton shirt to come in. Meeting some people at the brewery same night as a Bernie meetup there.,Hillary Clinton,FAVOR,∃x (is Hillary Clinton(x) ∧ is desired(x) ∧ is a shirt(x) ∧ arrives in time(x) ∧ ∃y (is a person(y) ∧ is a brewery(y) ∧ is a meetup(y))),"Support the given target ""Hillary Clinton""",support
231,"Donald Trump is a joke. His a simpleminded idiot, and I have nothing else to say about him. He can go FUCK him self.",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
232,@HillaryClinton @ca_hillary stand on the right side,Hillary Clinton,FAVOR,∀x (stands on the right side(x)),Support the given target 'Hillary Clinton',support
233,@HillaryClinton said #AllLivesMatter just like she said marriage was between a man and a woman! Giver her a few more years,Hillary Clinton,AGAINST,"∀x (said y(x, #AllLivesMatter) ∧ believed in y(x, traditional marriage) → should be given more time(x))","Oppose the given target ""Hillary Clinton""",opposed
234,"#HillaryDebateQuestion So you profess admiration for #MargaretSanger who wanted to rid the country of ""negros"". Explain please?",Hillary Clinton,AGAINST,"∀x (is Hillary Clinton(x) → (admires y(x, Margaret Sanger) ∧ wants to rid the country of ""negros""(Margaret Sanger))) → is opposed(Hillary Clinton)","Oppose the given target ""Hillary Clinton""",opposed
235,RT @mcirelli92: Hillary for the win,Hillary Clinton,FAVOR,∀x (is Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
236,Y did #randpaul take donations from a #WhiteSupremacy group after shaking hands with black leaders? #BlackLivesMatter #gop,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
237,@clairecmc @RosieGray is that why she and @ClintonGlobal take that #Saudi money? #SaudiCables #SaudiCables #clinton2016,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∨ is referenced(x)) ∧ (is Hillary Clinton(x) → is opposed(x))),"Oppose the given target ""Hillary Clinton""",opposed
238,@petefrt this is how GOP needs to be handling campaign not attacking each other but showing all hillary fails. #uniteright,Hillary Clinton,AGAINST,∀x ((is focused on(x) ∧ has failures(x)) → is attacked(is Hillary Clinton(x))),"Oppose the given target ""Hillary Clinton""",opposed
239,@Molls30 @HillaryClinton I love it! One of our biggest donors is Saudi Arabia. They support women's rights completely! #GoTeam,Hillary Clinton,AGAINST,"∀x (loves y(x, Hillary Clinton) ∧ is a donor of y(Saudi Arabia, x) ∧ supports women's rights(Saudi Arabia))","Support the given target ""Hillary Clinton""",support
240,@HillaryClinton Did you feel same about #BillClinton's latest assault of teen girl? #hypocrite #HillaryClinton #Hillary_2016_NO,Hillary Clinton,AGAINST,"∃x (is Hillary Clinton(x) ∧ accuses y(x, BillClinton) ∧ is negative(x) ∧ is opposed(x))","Oppose the given target ""Hillary Clinton""",opposed
241,My vote is definitely for Hillary. I don't want Bush's dumb ass. Don't want Trump either. #HillaryClinton,Hillary Clinton,FAVOR,∀x ((is the speaker's vote(x) ∧ is for Hillary Clinton(x)) ∧ (¬is wanted(is Bush(x)) ∧ ¬is wanted(is Trump(x)))),"Support the given target ""Hillary Clinton""",support
242,"I'm in a better place now that I got some coffee, now time to grow these grassroots #sctweets",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
243,"@SCOTUS_Scalia Right. Words no longer have meaning. Like Clintons,""It depends on what the meaning of 'is' is."" More if we don't",Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ x = Hillary Clinton) → 's words lack meaning(x)),"Opposed to the given target ""Hillary Clinton""",opposed
244,@tedcruz won't be there. I'm supporting @HillaryClinton for President. #lgbtrights #ACAWorks,Hillary Clinton,FAVOR,∀x (is supporting(x) ∧ is President(x)),"Support the given target ""Hillary Clinton""",support
245,"@GideonHenry First SCOTUS reaffirms Obamacare, then it legalize gay marriage. Your world is crumbling!",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
246,What a huge win for America! Today is absolutely historic. #EqualityWins #SCOTUSMarriage,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
247,My sexy daddy Obama had two wins this week. Happy for him & democrats,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
248,@TODAYshow Hillary's emails missing and incomplete? Who'd of thunk it?? JUST TRUST ME!!!,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton's emails(x) ∧ (is missing(x) ∨ is incomplete(x))) ∧ (epresses skepticism(x) ∨ urges blind trust(x))) → is opposed(x),"Oppose the given target ""Hillary Clinton""",opposed
249,@vacanti @samglover Maybe a woman should be President.,Hillary Clinton,FAVOR,∀x ((is a woman(x) ∧ x = Hillary Clinton) → is President(x)),"Support the given target ""Hillary Clinton""",support
250,Today LOVE won and Hate was defeated. #MorningJoe #UnitedBlue,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
251,"#Obama is riding high!! #ObamaCare #LoveWins #Republicans tearing out their hair, whatever is left of it ..Next is #SCOTUS",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
252,Thank you @HillaryClinton for your support of the LGBT community. On this historic day I thank you for giving us hope.,Hillary Clinton,FAVOR,∀x (supports the LGBT community(is Hillary Clinton(x))),"Support the given target ""Hillary Clinton""",support
253,"A Black President,Healthcare 4 all, Marriage Equality...what's next?..a Woman President?!Damn RIGHT! #SCOTUS #MarriageEquality",Hillary Clinton,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
254,"RT @muradguderian: Democrats are Red, Obama is a Communist, I'm a true Patriot, So stop Hillary. #tcot",Hillary Clinton,AGAINST,∀x (should be stopped(x) → is Hillary Clinton(x)),"Opposed to the given target ""Hillary Clinton""",opposed
255,@CBSThisMorning Emails missing and incomplete? Who'd of thunk it? I'M ABOVE THE LAW and the rest of you peons! JUST TRUST ME!,Hillary Clinton,AGAINST,∀x ((¬is Hillary Clinton(x) ∨ is above the law(x) ∨ is superior to others(x))),"Opposed to the given target ""Hillary Clinton""",opposed
256,Who's monica Lewinsky's favorite football player? Ha-Ha Clinton Dix,Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
257,"SCOTUS dealt a blow to Hillary Clintons last campaign 'promise'... What is she running on now? Corruption, lies, and deceit.",Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ made a campaign promise(x) ∧ received a blow(x)) → (is running on something(x) ∧ (is corruption(x) ∨ is lies(x) ∨ is deceit(x)))),"Opposed to the given target ""Hillary Clinton""",opposed
258,"Do America a favor, If you feel you must vote for a woman candidate, Vote for #Carly2016 who at least has integrity unlike",Hillary Clinton,AGAINST,∀x ((is a woman candidate(x) ∧ has integrity(x)) → ¬is Hillary Clinton(x)),"Opposed to the given target ""Hillary Clinton""",opposed
259,Getting another @HillaryClinton bumper sticker because #LoveWins and 2 just wasn't enough,Hillary Clinton,FAVOR,∀x (supports Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
260,@pamnsc @TRPhrophet @RamblingMother Thank you for RTs!!! #WakeUpAmerica #dumpboehner #ditchmitch,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
261,"@gerfingerpoken2 he made a careless mistake, she deliberately broke many laws & still lies about it.",Hillary Clinton,AGAINST,∀x ((broke many laws(x) ∧ lies about it(x)) ∨ made a careless mistake(x)),"Oppose the given target ""Hillary Clinton""",opposed
262,Very excited to hear Sen. Klobuchar speak today!,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
263,@PolitiBunny @Seja75 @hubbit @HillaryClinton I'm voting in the Democrat primary this year...to support @BernieSanders.,Hillary Clinton,AGAINST,∀x ((is voting in the Democrat primary(x) ∧ is supporting Bernie Sanders(x)) ∧ mentions Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
264,My liberty depends on you being free too. President Obama,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
265,@NRO Does @johnpodesta have any grasp on reality? I need more than 140 characters to address someone as naive as this man.,Hillary Clinton,NONE,∀x ((x = John Podesta ∧ ¬has a grasp on reality(x) ∧ is naive(x) ∧ needs a more etensive response(x)) → is opposed(Hillary Clinton)),"Oppose the given target ""Hillary Clinton""",opposed
266,@JewboyDonny oh I know he won't he effed himself over in the beginning,Hillary Clinton,NONE,∀x ((is mentioned(x) ∨ is referenced(x)) ∧ ¬is Hillary Clinton(x)) → is opposed(x),"Opposed to the given target ""Hillary Clinton""",opposed
267,"I called everyone I knew and raised $17,000 from ex-boyfriends - Sen. Klobuchar",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
268,Great that @HillaryClinton attended #ClementaPinckney 's funeral today!!,Hillary Clinton,FAVOR,∀x (attended Clementa Pinckney's funeral(x) → is supportive(x)),"Support the given target ""Hillary Clinton""",support
269,"#WonderWoman movie, #TheMuppets TV show, #StarWarsVII, #MarriageEquaility #Obama. I guess I can leave social media now. Oh wait",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
270,@politico Remember when millions of GWBush's emails went missing or deleted re Iraq War and nobody had a hearing? Yawn!,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
271,#LoveWins on the day I get my Hillary gear! #Yaaas #Pride,Hillary Clinton,FAVOR,∀x (x = is Hillary Clinton → Love wins),"Support the given target ""Hillary Clinton""",support
272,@thegirlwithfood though. But there are people saying they just aren't going to vote at all which is ridiculous so,Hillary Clinton,NONE,∀x ((¬is voting(x) → is ridiculous(x)) ∧ (is Hillary Clinton(x) → ¬is ridiculous(x))),"no attitude given the target ""Hillary Clinton""",neutral
273,RT @ZerlinaMaxwell: Huge cheer for universal child care and early childhood education.,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
274,Hillary: stop pretending you were supporting the LGBT people when you opposed them until 2013. You are a lying conniving human,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ opposed the LGBT people until 2013(x)) ∧ (is Hillary Clinton(x) ∧ pretended to support the LGBT people(x)) ∧ is a lying conniving human(x)),"Oppose the given target ""Hillary Clinton""",opposed
275,@tedcruz @IamTheWindowMan GET OUT OF MY STATE YOU BUM! #UniteBlue,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
276,Whatever is the GOP going to do now with both marriage equality and the ACA? Going to be fun to watch!,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
277,@occupycorruptDC she ain't no ways tired of being a dumbass,Hillary Clinton,NONE,∀x ((is a person(x) ∧ is criticized(x) ∧ is a dumbass(x)) → is mentioned in the tweet(Hillary Clinton)),"Oppose the given target ""Hillary Clinton""",opposed
278,"I AM A CROOK...and I like it, like it, yes I do #HillaryCampaignSlogan #WakeUpAmerica #StopHillary2016 #specialreport",Hillary Clinton,AGAINST,∀x ((is a crook(x) ∧ likes being a crook(x)) ∧ is Hillary Clinton(x) ∧ supports stopping Hillary Clinton's campaign(x)),Oppose the given target 'Hillary Clinton',opposed
279,@HillaryClinton Pretty sure you're gonna lose out on a lot of hypocritical #Christian votes by pretending to care about #LGBT,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ pretends to care about LGBT(x)) → (is Christian(x) ∧ loses support(x))),"Oppose the given target ""Hillary Clinton""",opposed
280,"Moving forward, our next focus should be making higher education more attainable and eliminating the gender pay gap",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
281,Let's shatter the glass ceiling! - @GerryConnolly #VAdems,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
282,@JerseyKidPicks thank you sir. It's an honor to hear it. USA for life. Spread this for me. #RememberBenghazi2016,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),no attitude given the target 'Hillary Clinton',neutral
283,"Let's make Secretary Clinton, President Clinton - @AGMarkHerring @vademocrats",Hillary Clinton,FAVOR,∀x ((is mentioned(x) ∨ is referenced(x)) ∧ is Hillary Clinton(x)) → is President(x),"Support the given target ""Hillary Clinton""",support
284,I think I'll take @JebBush over @BobbyJindal now.. and that is scary to say. #badchristianvalues,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
